ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
467434,0,0,39,1,3,0,0,3,B
460956,1,1,47,1,4,1,1,4,C
465179,1,1,61,1,4,1,3,2,C
463338,0,1,32,0,3,1,0,2,D
467066,0,1,55,0,4,0,0,1,B
463845,0,1,58,1,4,3,1,1,D
459976,1,0,38,1,4,0,0,1,D
461334,0,1,63,1,4,0,3,2,C
465108,0,1,58,1,6,1,1,2,C
462600,0,1,30,0,1,3,1,3,D
464144,0,1,60,1,4,0,1,4,C
466911,0,1,68,0,5,1,3,7,B
462806,0,1,52,0,4,0,0,3,A
463426,0,1,38,0,5,0,3,5,A
464065,1,1,35,1,0,10,0,2,B
462979,0,0,18,0,6,1,0,2,D
462834,0,1,30,1,7,3,0,2,D
460764,0,0,86,0,2,1,0,1,D
466466,1,1,19,0,0,6,0,5,D
460185,0,0,25,0,0,9,0,3,D
459749,0,1,59,1,3,3,0,4,A
464406,1,0,39,1,4,0,0,1,A
467758,1,1,50,1,6,1,0,2,B
462059,0,0,47,1,4,1,0,1,C
467905,0,1,43,1,5,0,3,3,D
461177,0,1,36,0,5,8,1,4,B
460765,0,1,80,0,2,1,0,1,D
465386,0,0,36,1,4,0,0,2,C
465827,0,0,27,0,8,2,0,7,D
462332,1,1,37,1,4,1,3,2,A
464481,0,1,46,1,5,0,3,3,C
461011,0,1,55,0,5,1,3,4,B
464749,1,1,47,0,1,9,1,4,B
461094,1,0,28,1,0,1,0,3,D
462104,0,1,39,0,3,9,0,2,D
464524,1,1,27,0,8,1,0,2,A
466295,1,1,42,0,1,0,0,2,A
461787,0,1,72,1,4,0,1,2,C
467857,1,1,28,1,1,0,0,2,A
460153,0,0,35,1,3,8,0,5,C
465215,0,1,39,1,5,9,3,5,A
466746,1,1,69,1,2,0,3,2,C
464857,0,0,18,0,0,6,0,4,D
459478,0,1,46,1,4,3,0,1,A
460723,1,1,50,1,1,1,3,2,B
459853,0,0,30,0,5,5,0,5,A
459390,1,0,41,0,4,3,0,2,B
460410,1,0,39,1,4,3,0,4,D
463823,1,0,29,0,8,8,0,4,D
462008,1,1,37,1,4,4,0,4,B
459750,1,1,39,1,1,0,1,2,A
459880,1,1,48,1,4,0,1,5,C
459261,1,0,32,1,6,0,0,3,C
465656,0,1,78,0,2,1,0,2,B
465395,1,1,43,0,1,0,1,5,B
461631,0,0,29,0,8,8,0,5,C
464904,1,1,28,0,1,9,1,2,A
461740,0,1,80,1,2,1,0,1,B
467092,1,0,28,1,0,7,0,4,D
464173,0,1,71,1,4,6,1,3,C
464972,0,1,67,0,2,0,3,9,A
467959,1,0,26,0,1,0,0,1,A
467688,1,1,47,1,1,0,1,2,C
460043,1,1,43,1,4,2,1,2,B
466590,1,0,27,1,0,0,0,4,C
461191,1,1,45,1,8,8,0,4,D
465662,0,1,76,0,5,1,0,1,C
459231,1,1,43,1,4,3,1,4,C
466495,1,1,78,1,2,1,3,2,B
459192,0,1,35,1,4,3,1,3,C
465710,1,0,49,1,4,1,0,1,C
460258,1,0,25,1,0,1,0,5,D
462813,0,1,37,0,5,0,1,5,A
463595,1,0,32,0,0,1,0,5,C
467768,0,1,60,1,6,0,1,2,C
465291,1,1,45,1,4,5,1,3,C
462996,1,1,49,1,7,9,1,3,C
463497,0,0,32,1,4,0,0,5,D
465301,1,1,40,1,4,0,0,3,B
464702,0,1,59,0,4,2,1,2,C
459012,0,1,48,1,4,3,0,5,B
465053,0,1,82,1,5,0,3,2,C
459420,1,1,70,1,2,0,0,2,B
464166,0,0,31,1,4,5,0,2,B
458987,1,1,72,1,2,0,3,2,C
467745,0,1,50,1,4,3,1,4,C
464866,1,0,23,0,1,11,0,1,D
461081,1,0,20,0,0,2,0,6,D
467896,1,0,22,0,0,4,0,3,D
463991,1,0,31,1,1,8,0,1,A
466620,1,1,36,1,4,7,1,2,C
462594,0,1,52,0,3,3,1,5,B
462206,1,0,29,1,4,3,0,1,B
460697,0,1,40,1,4,4,1,4,C
467934,1,0,40,1,4,1,0,1,A
460054,0,1,38,1,4,3,0,2,C
459576,1,1,85,0,2,3,0,2,A
467910,1,0,21,0,6,1,0,3,A
467335,1,1,41,0,1,4,1,2,D
460263,0,1,40,1,4,0,0,2,B
459340,0,1,53,1,4,1,1,3,B
465622,1,1,42,1,4,5,0,2,C
459395,0,1,42,0,5,8,0,2,D
467539,0,1,48,1,4,3,1,4,C
466574,0,1,59,1,4,7,0,2,C
466544,0,1,41,1,5,1,1,3,A
463610,1,1,31,1,4,0,1,2,A
465539,1,1,49,1,4,1,3,5,B
459823,0,1,67,1,5,1,0,2,A
467614,0,1,35,0,4,4,1,2,B
459073,1,0,26,1,0,0,0,3,C
466065,0,1,19,0,0,9,0,3,D
464863,1,1,25,0,1,6,1,8,D
460022,1,1,39,1,0,4,0,2,A
459929,0,1,63,1,3,0,0,2,A
466613,0,0,23,0,0,8,0,3,D
461149,1,0,23,0,0,0,0,3,D
466068,1,1,53,1,4,2,0,1,C
461513,0,0,33,1,6,0,0,2,B
464761,1,1,50,0,1,3,1,4,B
466236,1,1,69,1,1,0,0,2,B
459664,0,0,37,1,4,2,0,1,B
461967,1,0,20,0,8,3,0,4,C
460516,1,1,85,0,2,0,3,1,C
461710,1,1,49,1,6,1,1,4,C
462742,0,0,18,0,0,0,0,3,D
459528,1,1,52,1,6,0,1,2,C
462691,0,1,25,0,6,3,1,2,B
462934,0,1,56,0,5,3,3,2,A
465837,0,0,62,1,8,0,0,1,A
464613,1,0,35,1,4,0,0,3,B
467515,0,1,28,1,1,0,1,2,A
463429,1,0,28,1,4,7,0,3,A
464024,0,0,20,0,0,0,0,5,D
460691,1,0,27,0,7,8,0,1,D
461825,1,0,56,0,1,3,0,1,A
467271,0,1,45,1,4,4,1,4,B
465634,0,0,25,1,0,1,0,4,B
464801,0,0,40,0,8,1,0,1,D
459429,1,1,25,1,0,3,0,2,D
459888,1,1,74,0,2,3,3,2,D
463467,1,0,23,0,0,0,0,4,D
462036,1,1,67,1,2,0,3,2,B
461282,0,0,21,0,0,0,0,4,D
460448,1,0,38,1,4,9,0,1,A
464464,0,0,28,0,0,0,0,4,C
462410,1,0,32,0,0,1,0,5,B
467252,1,0,33,1,8,0,0,4,D
459756,1,1,56,0,2,1,3,4,B
463789,1,1,53,1,4,1,0,2,C
466947,0,1,57,0,5,1,3,5,C
464150,1,1,59,1,4,0,1,3,C
465693,1,1,25,1,0,1,3,4,A
461670,0,1,59,1,4,0,1,6,C
466768,1,1,36,1,4,0,0,4,C
461550,0,1,37,1,3,7,0,2,A
462438,0,0,22,0,6,1,0,3,D
460704,0,1,43,1,4,1,0,2,B
464884,0,1,41,1,4,1,0,2,A
467050,1,0,21,0,1,0,0,5,B
460738,1,0,49,0,1,1,0,2,A
466176,0,0,38,1,6,8,0,1,B
459488,0,1,47,0,4,3,1,4,A
467773,0,1,70,1,2,1,3,3,C
465425,1,0,31,0,1,1,0,4,B
462318,1,1,82,0,2,0,1,2,A
466078,1,1,51,0,5,3,0,1,A
460792,1,0,42,0,7,11,0,2,A
460197,0,0,38,1,4,8,0,3,A
459375,0,1,18,0,5,0,3,4,A
463862,0,1,50,1,4,6,1,3,C
460144,1,0,46,1,6,1,0,2,A
462721,1,1,72,0,2,1,3,3,D
459637,1,0,33,0,1,3,0,4,C
465809,1,0,25,0,7,1,0,7,B
466915,1,1,75,0,3,2,3,2,D
467343,0,0,72,1,4,1,0,1,B
466268,1,1,72,1,4,0,1,3,C
464868,0,1,36,1,3,6,0,6,A
464038,0,1,40,1,4,1,0,2,A
460176,1,0,28,1,3,0,0,4,C
462161,1,0,28,1,6,0,0,3,D
464841,0,1,19,0,3,0,3,3,D
464893,0,1,43,1,4,0,0,2,B
464443,1,1,35,1,4,1,1,2,B
467619,0,1,65,1,2,1,3,2,B
465974,0,1,52,1,5,7,3,4,C
462075,1,0,40,1,4,1,0,1,B
459494,1,1,69,0,1,9,0,3,A
466921,1,0,22,0,0,3,0,3,D
463544,0,1,47,1,5,1,1,4,C
461167,0,1,29,1,8,1,3,2,A
467364,0,1,46,1,4,1,1,3,C
462408,0,0,32,1,4,1,0,2,A
466224,1,0,38,1,0,0,0,1,C
465151,0,1,59,1,4,0,0,1,B
467216,1,0,26,1,3,1,0,1,D
460586,0,0,26,1,0,1,0,2,A
461197,0,0,28,0,8,0,0,1,D
462776,1,1,53,1,1,1,1,3,C
465058,1,0,43,1,3,3,0,1,B
464088,0,0,27,0,6,1,0,3,D
459471,1,0,32,0,4,3,0,8,C
464695,0,0,26,0,1,0,0,4,D
462331,1,0,31,0,3,0,0,2,D
466523,0,1,39,1,5,1,3,3,B
465337,1,1,43,0,1,1,0,3,A
460834,0,1,25,0,6,1,0,2,A
466824,0,1,40,1,4,3,3,3,A
461607,1,1,40,1,3,7,1,2,B
465091,0,1,63,1,3,3,1,3,C
459532,1,1,27,1,0,3,0,2,D
466999,0,0,27,1,0,1,0,3,D
466597,1,0,19,0,0,1,0,2,D
464075,1,1,86,1,2,0,3,2,B
463394,0,1,41,1,8,3,3,2,B
462163,1,1,27,1,4,4,1,2,C
463895,1,1,70,0,6,0,1,2,B
464767,1,1,53,0,1,8,1,4,B
464763,1,1,49,0,1,3,1,4,B
460718,0,1,55,0,5,3,0,2,D
461989,1,1,57,1,1,0,1,4,C
466374,0,1,83,0,2,3,0,1,B
463738,0,1,43,0,5,0,3,4,A
465967,0,1,36,0,6,6,0,3,A
462260,0,1,74,1,2,0,0,2,C
467234,1,0,30,0,7,0,0,4,D
466573,1,0,37,1,4,5,0,2,B
463229,1,0,22,0,8,0,0,1,B
459768,0,0,19,0,0,0,0,4,D
462541,0,1,70,1,1,4,3,2,B
467714,0,1,89,1,2,13,0,1,A
467730,0,0,18,0,0,3,0,4,D
459474,0,0,25,1,6,6,0,1,D
460093,1,0,45,1,4,4,0,1,A
467865,1,0,35,1,4,3,0,1,A
465758,1,1,37,0,1,7,0,1,D
464184,1,1,39,0,1,4,1,2,B
462618,1,0,32,1,0,1,0,5,D
464226,1,1,62,1,4,2,1,3,C
465432,1,1,58,1,1,0,1,4,B
464087,1,0,32,0,1,3,0,4,C
466627,0,0,25,0,0,0,0,5,C
467380,1,1,56,1,4,0,1,4,C
465842,1,0,36,1,3,10,0,2,A
464622,1,0,30,0,0,8,0,3,A
462083,0,0,19,0,0,1,0,5,D
460910,0,0,27,1,0,0,0,2,A
460255,1,0,38,1,6,14,0,1,A
460109,0,1,46,1,4,8,1,2,C
464306,0,0,29,1,4,3,0,1,B
466835,0,1,51,0,3,1,1,4,B
465192,0,1,55,0,4,0,0,1,A
463380,1,1,69,1,1,1,0,1,A
462391,1,0,26,0,0,1,0,8,C
467086,1,1,83,1,2,0,0,3,A
460306,1,0,39,1,0,9,0,1,D
460752,0,1,35,1,4,9,0,1,A
467264,0,1,19,0,8,2,3,5,C
461646,1,1,60,1,4,3,3,4,C
463570,0,1,35,1,4,3,1,4,C
465277,1,0,53,1,1,3,0,1,B
467426,1,1,86,0,2,3,0,2,B
466258,1,0,29,0,0,1,0,3,B
463719,1,0,26,0,6,0,0,1,D
460032,0,0,36,1,1,8,0,1,A
465175,1,0,22,0,7,0,0,4,D
466610,0,0,19,0,8,0,0,5,A
459036,1,1,20,1,2,1,1,3,A
464047,0,0,43,1,0,3,0,3,D
459496,1,0,42,1,4,3,0,3,A
459997,0,0,43,1,3,1,0,2,A
463382,1,1,50,1,1,4,3,3,B
460967,0,0,25,1,3,1,0,2,A
465094,0,1,61,0,4,1,3,2,B
461229,1,1,28,1,0,0,1,2,A
466442,0,0,38,1,4,1,0,1,D
464527,0,0,25,0,5,12,0,3,A
463560,1,0,18,0,0,9,0,5,D
460011,0,1,43,1,3,1,1,5,C
467207,1,0,27,1,4,8,0,1,B
465177,1,0,60,1,3,1,0,2,D
467531,0,1,75,1,2,2,0,1,D
465409,1,0,31,0,6,3,0,4,D
462842,0,0,23,0,6,6,0,4,D
462124,0,0,36,1,4,8,0,1,A
466265,0,0,30,0,6,1,0,1,C
459789,0,1,56,0,4,1,1,2,C
464223,1,1,52,1,4,2,0,2,C
460280,0,1,39,1,3,0,0,1,D
460331,1,0,35,0,4,5,0,1,A
461494,0,1,33,0,1,0,1,2,B
460035,1,0,25,1,4,0,0,6,A
463812,1,1,27,1,4,0,1,2,B
465569,0,1,35,1,4,1,3,3,A
466333,1,1,41,1,4,1,1,2,C
467668,1,1,49,1,4,3,1,3,C
462723,1,1,46,0,4,8,1,2,B
460909,1,0,31,0,0,3,0,2,D
467777,0,0,49,1,6,3,0,1,C
462404,1,0,26,1,4,9,0,1,A
461799,0,1,43,1,6,13,3,2,B
459933,1,1,30,1,4,8,0,4,A
463717,1,1,70,1,4,1,1,4,C
463652,1,0,28,1,4,3,0,1,D
462149,1,1,89,0,2,3,3,1,D
462769,1,1,42,0,7,6,3,4,B
465532,1,1,37,1,3,6,1,3,A
462829,0,1,29,0,5,1,1,3,D
459210,1,1,68,1,4,1,3,2,C
464659,1,0,25,0,1,1,0,1,D
461411,0,0,29,0,0,1,0,2,D
467759,1,1,48,1,6,0,0,2,C
461475,1,1,51,1,6,1,1,3,C
462714,1,1,40,1,1,1,3,5,B
466890,0,1,47,1,4,0,1,6,B
462888,0,1,39,1,5,3,3,3,B
467479,0,1,35,1,5,1,1,4,C
466799,1,0,19,0,0,2,0,3,D
466557,1,0,21,0,0,7,0,2,D
460873,0,1,46,1,3,0,1,3,B
466776,0,1,86,1,2,0,0,1,B
459462,0,1,66,1,4,0,3,2,B
465727,0,0,42,0,8,1,0,5,D
462348,1,1,73,1,2,1,3,2,B
460941,0,1,72,0,1,1,0,1,A
461629,0,1,53,1,4,0,0,3,B
459907,1,1,39,1,4,8,1,2,C
467146,1,0,27,0,7,9,0,1,D
460916,0,1,63,0,3,1,1,2,B
459196,1,0,23,0,0,1,0,3,D
465444,1,0,30,1,3,0,0,4,B
464186,1,1,39,1,4,5,1,2,C
466412,0,1,26,1,4,1,1,3,B
459480,1,1,50,1,3,7,0,3,A
467880,1,1,45,1,4,1,1,2,C
460216,1,0,62,0,3,2,0,1,A
467941,1,0,27,1,6,1,0,3,A
466090,0,1,57,1,3,1,0,2,A
462572,1,1,30,0,1,1,1,7,A
467443,0,0,32,0,0,7,0,4,A
462548,0,0,18,1,5,3,0,5,A
459701,0,0,47,0,4,3,0,3,B
461139,1,0,32,1,4,4,0,4,A
461115,1,1,32,0,1,5,0,3,A
459027,0,1,67,1,6,1,1,4,B
467340,1,1,77,1,2,0,3,2,C
461410,0,1,79,0,8,0,1,2,C
460857,0,0,31,0,3,1,0,1,A
464300,0,1,42,1,4,0,0,3,A
460532,1,0,18,0,8,0,0,6,D
463287,0,1,50,1,4,1,1,4,C
461392,0,1,71,1,4,0,1,5,C
461546,1,1,72,0,2,1,0,3,A
467780,0,1,47,1,4,3,0,3,A
462130,0,1,45,1,4,9,1,2,C
464684,1,0,40,0,1,9,0,5,A
462276,1,0,36,1,1,4,0,1,A
462142,1,0,42,1,4,3,0,1,B
462417,0,0,30,0,0,4,0,4,D
466463,1,0,29,1,0,2,0,4,B
464736,0,0,28,1,1,0,0,5,D
467520,0,1,22,0,0,3,0,2,D
459835,0,1,85,0,2,3,0,1,D
463855,1,1,40,1,4,1,1,2,C
460344,1,1,52,1,4,14,1,2,C
466211,0,1,47,1,4,0,0,2,C
460139,0,0,26,0,4,6,0,6,D
464126,1,0,55,1,8,3,0,1,B
461286,1,0,20,0,6,4,0,4,D
461621,1,1,87,1,2,0,3,2,C
460163,0,0,28,0,0,0,0,2,A
461958,0,0,38,0,4,2,0,2,A
464875,0,1,42,0,3,1,0,2,B
464791,0,1,42,0,8,0,3,6,A
464579,1,0,29,0,1,1,0,4,D
463531,0,0,32,1,6,0,0,4,A
462651,0,1,38,0,5,3,3,5,D
465486,1,1,59,0,4,1,3,2,C
460882,0,0,22,0,0,0,0,2,D
467162,1,0,26,0,7,9,0,2,D
461298,1,1,78,1,4,1,3,2,C
461595,1,0,32,1,0,0,0,3,A
459260,0,1,37,1,4,0,1,4,C
462772,0,1,37,1,0,1,3,4,B
462941,0,0,67,0,2,3,0,2,D
459143,0,1,47,0,4,0,3,4,B
464532,1,1,68,1,2,0,3,2,A
460056,0,0,30,1,0,3,0,5,C
466761,1,1,48,1,3,2,0,1,A
465469,1,0,43,1,4,6,0,1,C
461886,0,1,33,1,0,9,0,2,D
465680,0,1,31,0,0,0,1,5,D
459316,0,1,32,1,0,1,0,2,D
465609,1,0,21,0,0,1,0,4,D
467009,1,0,29,0,7,2,0,4,D
461766,1,1,35,1,4,1,0,2,A
464938,0,1,46,0,4,0,0,3,A
462034,1,1,38,1,4,9,3,2,B
464049,1,0,32,1,0,1,0,3,C
467925,1,0,28,1,4,3,0,7,A
463711,1,1,68,1,2,3,0,1,A
463846,1,1,45,1,4,4,0,1,C
462064,0,1,58,1,4,0,1,3,C
463249,0,0,28,0,3,1,0,2,A
464217,1,0,32,0,0,12,0,3,A
463378,0,0,30,1,6,1,0,1,B
463035,1,1,42,0,7,3,1,4,D
459656,0,0,22,0,8,3,0,6,D
463114,0,0,41,1,4,3,0,3,C
465309,1,0,18,0,0,6,0,4,D
462688,1,1,29,1,0,8,0,3,D
459255,1,0,33,1,0,0,0,3,A
467385,0,0,47,0,4,1,0,2,A
467492,1,1,57,1,6,1,0,2,A
460789,0,1,36,1,5,1,0,3,D
467307,0,1,57,1,5,1,3,3,C
464026,0,0,18,0,0,1,0,2,D
464645,0,1,52,1,4,1,1,5,C
462493,0,1,52,1,4,1,1,6,C
460685,0,0,51,1,4,6,0,4,B
460452,1,1,37,1,3,0,1,2,B
459322,0,0,36,1,8,0,0,1,A
464066,1,0,29,1,0,9,0,3,A
461114,0,1,45,1,4,1,1,4,C
465165,0,0,61,1,4,0,0,1,B
464526,0,1,52,1,3,1,1,4,A
460666,1,1,49,1,7,14,0,1,A
465417,0,1,40,1,3,3,1,2,B
464096,1,0,31,0,0,1,0,5,C
464891,0,1,42,0,3,1,0,3,A
460107,0,1,51,1,1,1,1,5,C
467708,1,0,42,1,0,8,0,1,D
461873,0,0,29,1,6,1,0,4,C
465181,1,0,33,1,0,8,0,1,A
467204,0,0,27,1,0,3,0,3,D
467320,1,0,21,0,0,0,0,4,D
459468,0,1,35,0,4,9,1,3,B
467316,1,0,42,1,6,0,0,1,A
466182,1,0,41,1,4,2,0,1,C
463757,0,0,39,1,4,0,0,3,B
462314,1,0,28,0,6,14,0,1,A
466392,1,1,45,1,1,3,1,2,B
466652,1,1,61,1,6,1,1,2,B
461664,0,1,62,1,4,0,1,4,C
464105,0,1,65,1,3,1,1,2,C
466790,0,1,45,1,6,1,1,2,A
463844,1,1,26,1,1,9,0,2,B
462913,1,0,25,1,4,4,0,5,C
465541,1,1,45,1,4,1,1,4,C
459149,0,1,43,0,5,0,3,4,B
464508,0,1,49,1,5,1,3,3,C
458999,0,1,55,1,4,1,1,2,C
459947,1,0,37,1,4,3,0,1,B
465500,0,1,65,1,3,1,3,2,C
466009,1,0,32,0,8,10,0,5,C
466338,1,0,39,0,1,0,0,3,A
465122,1,1,40,1,4,2,1,2,C
465230,0,1,72,1,3,1,1,3,C
466369,1,0,38,0,7,5,0,1,B
463939,0,0,26,0,8,0,0,5,D
460825,0,0,30,1,6,1,0,3,D
461125,0,1,51,1,7,1,0,2,A
463471,0,0,57,1,8,1,0,4,A
467415,1,0,31,1,0,1,0,1,D
465879,0,0,39,1,4,0,0,1,A
463961,1,0,30,0,1,0,0,4,A
462634,1,1,43,0,4,0,1,3,A
463622,0,0,27,1,0,8,0,1,C
466624,1,1,46,0,4,0,1,4,C
467785,0,1,43,0,4,1,0,2,B
461928,0,1,69,1,2,3,0,1,A
460578,0,1,28,0,3,8,1,4,D
460198,0,0,43,1,3,9,0,1,D
467468,1,0,27,0,0,3,0,5,D
463581,1,0,28,1,0,1,0,3,D
463968,0,0,33,0,4,3,0,4,D
465414,1,0,30,0,1,0,0,1,B
464574,0,0,58,0,0,4,0,2,D
462312,1,0,38,1,1,8,0,4,A
467971,1,0,31,1,4,1,0,4,D
464746,0,1,32,0,5,4,1,5,D
459298,0,1,45,1,4,4,1,4,C
466414,0,1,66,1,4,1,0,3,A
460773,1,1,51,1,4,1,1,3,C
461594,1,1,59,1,4,3,1,2,C
462713,1,0,40,1,1,3,0,1,B
465163,0,1,46,1,4,11,1,5,C
462222,0,0,20,0,0,1,0,6,D
459342,1,1,84,0,2,1,3,2,C
463006,1,0,41,1,8,3,0,1,D
463029,0,1,51,0,4,3,1,3,C
460767,0,1,57,1,3,8,1,5,A
464319,1,0,33,0,6,0,0,1,A
462828,0,0,25,0,8,3,0,3,D
459873,0,1,55,1,4,3,1,3,A
461608,1,1,56,1,5,3,3,4,A
465155,0,1,77,1,2,1,0,1,C
461704,0,1,30,1,0,1,0,2,A
464826,0,0,23,0,0,6,0,5,D
462677,1,0,43,1,4,2,0,4,B
465006,0,0,39,1,3,5,0,1,A
463483,0,1,29,0,5,1,3,2,D
459816,0,1,37,1,6,3,0,2,D
459002,1,1,45,0,1,2,0,2,D
465990,0,1,48,0,5,2,3,2,D
466044,0,1,27,0,3,0,1,4,A
461163,1,1,60,0,3,9,0,4,B
467106,0,1,45,1,3,4,1,3,B
467373,0,0,31,1,0,3,0,1,D
461256,0,0,33,0,6,1,0,4,C
466522,0,1,18,0,8,6,3,4,D
459010,1,1,48,1,4,3,1,3,B
466537,1,1,83,0,2,3,0,2,A
459046,0,1,57,1,5,3,0,4,A
459335,0,0,26,1,0,3,0,3,D
462695,0,1,51,1,4,8,0,5,A
466208,0,1,67,0,5,2,3,1,C
462128,0,1,38,1,4,9,1,2,C
467329,1,0,40,1,6,0,0,1,C
461609,1,1,45,1,4,5,1,2,B
464470,0,1,48,1,4,0,1,4,C
462705,1,1,69,0,2,0,1,2,C
465255,0,0,21,0,0,9,0,5,D
462536,1,1,48,0,1,1,3,2,B
461186,1,0,18,0,0,3,0,3,D
466018,0,1,72,1,4,0,0,3,C
461385,0,1,85,0,2,3,0,1,D
459115,1,0,21,0,8,1,0,5,D
461263,1,1,48,1,4,1,0,1,A
460027,1,0,37,1,3,6,0,2,A
460366,0,0,28,0,0,1,0,5,D
464106,0,1,55,1,3,1,0,2,A
465696,1,0,56,1,4,0,0,2,C
461627,0,1,50,1,6,1,0,2,C
467963,0,0,21,0,0,1,0,4,D
462437,0,0,18,0,0,0,0,6,D
467543,0,1,68,1,2,0,3,2,B
465206,0,1,47,1,4,13,0,1,C
463040,0,1,75,0,2,1,3,2,B
461668,0,1,50,1,4,3,1,4,C
461955,0,0,31,1,0,0,0,4,D
467139,1,0,30,1,4,0,0,3,A
459366,1,1,41,1,4,0,0,4,A
460689,0,1,41,1,5,6,3,2,A
462167,1,1,35,0,0,2,0,1,A
466752,0,1,37,1,0,0,0,1,D
462778,0,1,60,1,3,0,0,2,D
466902,0,1,50,1,6,0,1,3,C
459534,0,1,36,1,4,0,1,2,C
463399,1,0,26,0,8,3,0,3,A
465538,0,1,62,0,8,7,3,2,D
464878,0,0,22,0,0,0,0,4,D
467599,1,0,19,0,0,0,0,3,D
466226,1,1,45,1,4,0,1,5,C
463576,1,0,31,0,6,0,0,4,D
464911,0,1,56,1,4,0,1,3,C
466457,1,1,62,1,2,8,0,5,A
463909,1,0,25,1,0,1,0,3,B
466099,1,1,73,1,2,1,0,1,B
464427,0,1,62,1,6,1,1,4,C
463951,0,1,46,0,3,0,1,3,A
465638,1,1,51,1,4,3,0,2,C
465289,0,1,25,1,5,1,3,2,A
466718,0,1,66,1,5,0,3,2,B
464219,0,0,27,1,8,1,0,2,A
467098,0,1,87,0,5,1,0,2,A
467451,1,1,47,1,4,0,0,1,A
465137,0,1,57,1,4,1,1,4,C
462289,0,1,60,1,4,0,1,4,A
467459,0,1,40,1,5,3,3,5,B
